id,date,user,pc,activity,activity_binary,hour,dayofweek,narrative,predicted_label,risk_level
{O6N1-Y1XW24EA-4669JEXM},2010-01-05 08:01:00,HJA0018,PC-3985,logon,1,8,1,"Logon activity from HJA0018 on PC-3985 at January 05, 2010 at 08:01 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{M7S1-B3LR71UD-8150OWHL},2010-01-04 17:05:00,BRB0355,PC-9896,logoff,0,17,0,"Logoff activity from BRB0355 on PC-9896 at January 04, 2010 at 05:05 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{P2O1-R5YL44AU-0074QMHF},2010-01-04 07:51:00,AOB0019,PC-4479,logon,1,7,0,"Logon activity from AOB0019 on PC-4479 at January 04, 2010 at 07:51 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",normal,LOW
{E3S5-Y5KA18HU-0836NPJS},2010-01-04 08:18:00,HBB0056,PC-1281,logon,1,8,0,"Logon activity from HBB0056 on PC-1281 at January 04, 2010 at 08:18 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 8.",uncertain,MEDIUM
{D8U7-V1QU58IZ-1374FOQN},2010-01-05 15:15:00,KRL0062,PC-5595,logoff,0,15,1,"Logoff activity from KRL0062 on PC-5595 at January 05, 2010 at 03:15 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 15.",uncertain,MEDIUM
{N8I8-M7SH71ZO-8772CAGE},2010-01-05 17:08:00,KKS0119,PC-0322,logoff,0,17,1,"Logoff activity from KKS0119 on PC-0322 at January 05, 2010 at 05:08 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{G5Z0-J6MK88HE-0693WZCM},2010-01-05 08:30:00,RNF0765,PC-5028,logon,1,8,1,"Logon activity from RNF0765 on PC-5028 at January 05, 2010 at 08:30 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{Q5A1-P6VB16IU-6827FCZU},2010-01-05 08:03:00,NUL0471,PC-2085,logon,1,8,1,"Logon activity from NUL0471 on PC-2085 at January 05, 2010 at 08:03 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",uncertain,MEDIUM
{G1I5-S1BA39CB-2006ZISX},2010-01-05 07:30:00,HCM0267,PC-7651,logon,1,7,1,"Logon activity from HCM0267 on PC-7651 at January 05, 2010 at 07:30 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{W1K8-O5VU44AK-1450DEBQ},2010-01-04 20:33:00,MBW0809,PC-5118,logoff,0,20,0,"Logoff activity from MBW0809 on PC-5118 at January 04, 2010 at 08:33 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 20.",normal,LOW
{P0I0-T4AD92XY-3683SHOY},2010-01-04 17:54:00,CCR0863,PC-7342,logoff,0,17,0,"Logoff activity from CCR0863 on PC-7342 at January 04, 2010 at 05:54 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{F1M7-V3PF56GX-7258ACKX},2010-01-05 13:13:47,DMG0358,PC-9687,logon,1,13,1,"Logon activity from DMG0358 on PC-9687 at January 05, 2010 at 01:13 PM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 13.",uncertain,MEDIUM
{B6J6-L3CL98TN-8541PSIW},2010-01-05 08:32:00,JDC0030,PC-0246,logon,1,8,1,"Logon activity from JDC0030 on PC-0246 at January 05, 2010 at 08:32 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",uncertain,MEDIUM
{L0S9-A5YG86KF-1271QQPH},2010-01-05 07:16:00,VEB0935,PC-3534,logon,1,7,1,"Logon activity from VEB0935 on PC-3534 at January 05, 2010 at 07:16 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{K3L0-O1FB89AZ-0527PNJG},2010-01-05 13:46:48,CCM0136,PC-3268,logon,1,13,1,"Logon activity from CCM0136 on PC-3268 at January 05, 2010 at 01:46 PM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 13.",uncertain,MEDIUM
{L5R1-S6CV48KJ-4149MPRT},2010-01-04 07:50:00,SCF0608,PC-8864,logon,1,7,0,"Logon activity from SCF0608 on PC-8864 at January 04, 2010 at 07:50 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",normal,LOW
{K3J8-N8EL51EB-9561VZZI},2010-01-05 13:13:16,GZC0735,PC-8219,logon,1,13,1,"Logon activity from GZC0735 on PC-8219 at January 05, 2010 at 01:13 PM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 13.",normal,LOW
{V8C1-K9EY02TT-0365NXXQ},2010-01-05 08:32:00,ELB0847,PC-9661,logon,1,8,1,"Logon activity from ELB0847 on PC-9661 at January 05, 2010 at 08:32 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",uncertain,MEDIUM
{B5W4-D3DF90SZ-2989LLZG},2010-01-04 07:48:00,BDB0453,PC-1949,logon,1,7,0,"Logon activity from BDB0453 on PC-1949 at January 04, 2010 at 07:48 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{O0A2-C9NB19QF-8133JVSC},2010-01-05 16:55:00,HWW0436,PC-8391,logoff,0,16,1,"Logoff activity from HWW0436 on PC-8391 at January 05, 2010 at 04:55 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 16.",uncertain,MEDIUM
{K9X6-T1TX89IL-6139EIRJ},2010-01-04 18:26:00,OYM0026,PC-9261,logoff,0,18,0,"Logoff activity from OYM0026 on PC-9261 at January 04, 2010 at 06:26 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 18.",normal,LOW
{H4M9-W5GZ76TW-5980PGFL},2010-01-04 07:38:00,BAH0875,PC-1377,logon,1,7,0,"Logon activity from BAH0875 on PC-1377 at January 04, 2010 at 07:38 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",normal,LOW
{W8E7-K0IX95FM-9471FQPJ},2010-01-04 17:55:00,FQA0854,PC-2582,logoff,0,17,0,"Logoff activity from FQA0854 on PC-2582 at January 04, 2010 at 05:55 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{C2G4-Q5FP60LZ-7196PAPO},2010-01-05 09:01:00,HLH0512,PC-2288,logon,1,9,1,"Logon activity from HLH0512 on PC-2288 at January 05, 2010 at 09:01 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 9.",normal,LOW
{M9P5-H0QQ33NZ-7090VFZO},2010-01-04 07:30:00,NJC0705,PC-5456,logon,1,7,0,"Logon activity from NJC0705 on PC-5456 at January 04, 2010 at 07:30 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{C8T7-P8AT69NG-9382HDCM},2010-01-04 08:22:00,AKH0758,PC-7560,logon,1,8,0,"Logon activity from AKH0758 on PC-7560 at January 04, 2010 at 08:22 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{L4X3-E1WM96YD-5891ISQN},2010-01-04 08:30:00,SOB0586,PC-6477,logon,1,8,0,"Logon activity from SOB0586 on PC-6477 at January 04, 2010 at 08:30 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 8.",uncertain,MEDIUM
{D1H2-W5LG80YG-8442LXVJ},2010-01-04 08:13:00,BJH0354,PC-1332,logon,1,8,0,"Logon activity from BJH0354 on PC-1332 at January 04, 2010 at 08:13 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 8.",uncertain,MEDIUM
{K9P7-X9NQ10UL-4304PVQD},2010-01-02 08:55:00,SMH0291,PC-3571,logon,1,8,5,"Logon activity from SMH0291 on PC-3571 at January 02, 2010 at 08:55 AM. Authentication: 1 (Verified). Temporal Context: Friday Day (Weekend). Behavioral Marker: Hour 8.",uncertain,HIGH
{C9R4-A1AQ50UX-8861PKUK},2010-01-05 08:27:00,HSB0196,PC-8001,logon,1,8,1,"Logon activity from HSB0196 on PC-8001 at January 05, 2010 at 08:27 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{T9J4-P0RC84TE-5506MRMC},2010-01-04 08:12:00,JAV0361,PC-0253,logon,1,8,0,"Logon activity from JAV0361 on PC-0253 at January 04, 2010 at 08:12 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 8.",uncertain,MEDIUM
{V8G8-M7VD72ZI-4053UQFO},2010-01-04 17:18:00,JIM0095,PC-9328,logoff,0,17,0,"Logoff activity from JIM0095 on PC-9328 at January 04, 2010 at 05:18 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{K7F1-T2EJ09GH-6453XSGM},2010-01-04 19:30:50,TSM0363,PC-1313,logon,1,19,0,"Logon activity from TSM0363 on PC-1313 at January 04, 2010 at 07:30 PM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 19.",uncertain,MEDIUM
{V3A7-C0FT01JH-9663PUMV},2010-01-04 07:24:00,BTW0005,PC-2915,logon,1,7,0,"Logon activity from BTW0005 on PC-2915 at January 04, 2010 at 07:24 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{N3W1-Z3LK98ED-0614VYWI},2010-01-05 07:45:00,MAH0864,PC-2024,logon,1,7,1,"Logon activity from MAH0864 on PC-2024 at January 05, 2010 at 07:45 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 7.",normal,LOW
{E1M3-M2PA38FO-8659DXJI},2010-01-05 09:03:00,JFC0557,PC-9179,logon,1,9,1,"Logon activity from JFC0557 on PC-9179 at January 05, 2010 at 09:03 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 9.",normal,LOW
{T8Q7-Y1KV04VA-3871WZOZ},2010-01-04 07:09:00,RVF0201,PC-7899,logon,1,7,0,"Logon activity from RVF0201 on PC-7899 at January 04, 2010 at 07:09 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{E8U5-W8YR06JN-5737FZLL},2010-01-05 08:17:00,OLF0504,PC-7774,logon,1,8,1,"Logon activity from OLF0504 on PC-7774 at January 05, 2010 at 08:17 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{T6E4-L0BO60EN-7704KDOH},2010-01-03 12:03:50,LBH0942,PC-3640,logon,1,12,6,"Logon activity from LBH0942 on PC-3640 at January 03, 2010 at 12:03 PM. Authentication: 1 (Verified). Temporal Context: Saturday Day (Weekend). Behavioral Marker: Hour 12.",uncertain,HIGH
{C6V3-K4IX31FI-3998IUXU},2010-01-04 08:20:00,JRL0574,PC-4386,logon,1,8,0,"Logon activity from JRL0574 on PC-4386 at January 04, 2010 at 08:20 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{O4D4-D6FD45FS-8544FGBE},2010-01-04 07:48:00,MKW0441,PC-1795,logon,1,7,0,"Logon activity from MKW0441 on PC-1795 at January 04, 2010 at 07:48 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",normal,LOW
{E7X9-N4GU05CT-1927BMNY},2010-01-04 16:31:00,AWM0764,PC-6786,logoff,0,16,0,"Logoff activity from AWM0764 on PC-6786 at January 04, 2010 at 04:31 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 16.",uncertain,MEDIUM
{C5J4-L1YV77ZP-2630YZJI},2010-01-05 07:49:00,NJC0705,PC-5456,logon,1,7,1,"Logon activity from NJC0705 on PC-5456 at January 05, 2010 at 07:49 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 7.",normal,LOW
{W0Q4-A5DF46HW-6763KXYR},2010-01-05 07:16:00,CSL0949,PC-6544,logon,1,7,1,"Logon activity from CSL0949 on PC-6544 at January 05, 2010 at 07:16 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 7.",normal,LOW
{Y9T1-V1DK85YQ-6028ZDBY},2010-01-04 10:05:37,JCG0316,PC-4124,logon,1,10,0,"Logon activity from JCG0316 on PC-4124 at January 04, 2010 at 10:05 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 10.",uncertain,MEDIUM
{Y7R0-T2MS10US-6552QXMI},2010-01-05 13:21:54,BAM0611,PC-3620,logon,1,13,1,"Logon activity from BAM0611 on PC-3620 at January 05, 2010 at 01:21 PM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 13.",uncertain,MEDIUM
{K7C5-B1HC10AU-6407PQTG},2010-01-05 07:27:00,OMM0944,PC-0378,logon,1,7,1,"Logon activity from OMM0944 on PC-0378 at January 05, 2010 at 07:27 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 7.",normal,LOW
{D3B4-W4VY39PI-1862XOWX},2010-01-05 04:20:46,HDS0367,PC-6985,logon,1,4,1,"Logon activity from HDS0367 on PC-6985 at January 05, 2010 at 04:20 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 4.",uncertain,MEDIUM
{P1Y5-C0KJ26FS-4200XUZB},2010-01-04 07:40:00,MKG0711,PC-2368,logon,1,7,0,"Logon activity from MKG0711 on PC-2368 at January 04, 2010 at 07:40 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{I3C6-W3TU11GS-0460FTOX},2010-01-04 08:13:00,KAT0489,PC-7007,logon,1,8,0,"Logon activity from KAT0489 on PC-7007 at January 04, 2010 at 08:13 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 8.",uncertain,MEDIUM
{P0H7-A5QN80KW-9539EDNI},2010-01-05 08:35:00,MNR0829,PC-2479,logon,1,8,1,"Logon activity from MNR0829 on PC-2479 at January 05, 2010 at 08:35 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{V1N0-S4PS98AX-9028MTQG},2010-01-05 12:25:58,RLG0856,PC-1998,logon,1,12,1,"Logon activity from RLG0856 on PC-1998 at January 05, 2010 at 12:25 PM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 12.",uncertain,MEDIUM
{M5N1-C6XY35BV-3010EEHV},2010-01-05 15:45:00,CCW0031,PC-6286,logoff,0,15,1,"Logoff activity from CCW0031 on PC-6286 at January 05, 2010 at 03:45 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 15.",uncertain,MEDIUM
{T8E8-Z9FU65SZ-6407BQJX},2010-01-02 18:29:00,CTR0341,PC-6184,logoff,0,18,5,"Logoff activity from CTR0341 on PC-6184 at January 02, 2010 at 06:29 PM. Authentication: 0 (Unverified). Temporal Context: Friday Day (Weekend). Behavioral Marker: Hour 18.",uncertain,HIGH
{E7L9-T0PE69SN-0871QTFS},2010-01-04 17:03:00,MKW0441,PC-1795,logoff,0,17,0,"Logoff activity from MKW0441 on PC-1795 at January 04, 2010 at 05:03 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{J1J5-I0UN68IA-6242SPNQ},2010-01-05 13:54:15,CWR0502,PC-3737,logon,1,13,1,"Logon activity from CWR0502 on PC-3737 at January 05, 2010 at 01:54 PM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 13.",uncertain,MEDIUM
{X2D9-G8YW17VG-3876JDQV},2010-01-05 17:49:00,TIW0299,PC-5781,logoff,0,17,1,"Logoff activity from TIW0299 on PC-5781 at January 05, 2010 at 05:49 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{X8R5-H2SQ42TZ-1841ISTH},2010-01-05 15:26:00,DVM0265,PC-3324,logoff,0,15,1,"Logoff activity from DVM0265 on PC-3324 at January 05, 2010 at 03:26 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 15.",uncertain,MEDIUM
{M2J1-I7LX17CT-4601SYPW},2010-01-05 16:58:00,NNA0610,PC-1500,logoff,0,16,1,"Logoff activity from NNA0610 on PC-1500 at January 05, 2010 at 04:58 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 16.",uncertain,MEDIUM
{A6B1-R0IS63PX-3297RHYS},2010-01-03 07:13:00,LBH0942,PC-3640,logon,1,7,6,"Logon activity from LBH0942 on PC-3640 at January 03, 2010 at 07:13 AM. Authentication: 1 (Verified). Temporal Context: Saturday Day (Weekend). Behavioral Marker: Hour 7.",uncertain,HIGH
{X5G4-U4EN47MT-4060KVHV},2010-01-04 18:15:00,ESH0135,PC-8816,logoff,0,18,0,"Logoff activity from ESH0135 on PC-8816 at January 04, 2010 at 06:15 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 18.",uncertain,MEDIUM
{Y3S9-L1MO87YO-0076HEBT},2010-01-04 16:33:00,RIH0777,PC-9508,logoff,0,16,0,"Logoff activity from RIH0777 on PC-9508 at January 04, 2010 at 04:33 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 16.",uncertain,MEDIUM
{W4A3-K2HX02OZ-5029NDTM},2010-01-04 18:15:00,KDT0346,PC-7238,logoff,0,18,0,"Logoff activity from KDT0346 on PC-7238 at January 04, 2010 at 06:15 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 18.",uncertain,MEDIUM
{J1E0-Z7GU20VP-4187IKBU},2010-01-03 09:26:00,ALB0892,PC-2744,logon,1,9,6,"Logon activity from ALB0892 on PC-2744 at January 03, 2010 at 09:26 AM. Authentication: 1 (Verified). Temporal Context: Saturday Day (Weekend). Behavioral Marker: Hour 9.",uncertain,HIGH
{T7K0-A9ZW06LM-0400BYCT},2010-01-04 09:11:00,LUR0896,PC-9067,logon,1,9,0,"Logon activity from LUR0896 on PC-9067 at January 04, 2010 at 09:11 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 9.",uncertain,MEDIUM
{I5L5-C6FA48IX-4904RIZS},2010-01-04 17:50:23,FFC0891,PC-4124,logoff,0,17,0,"Logoff activity from FFC0891 on PC-4124 at January 04, 2010 at 05:50 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{R7S8-P1WB88QA-4147STQV},2010-01-04 07:17:00,KTG0091,PC-7913,logon,1,7,0,"Logon activity from KTG0091 on PC-7913 at January 04, 2010 at 07:17 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{W3Z7-R7VJ05VA-1541NIMY},2010-01-05 17:00:00,MDM0625,PC-4984,logoff,0,17,1,"Logoff activity from MDM0625 on PC-4984 at January 05, 2010 at 05:00 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{J3V3-B5GL83XF-0257SDKT},2010-01-05 11:53:22,JMH0543,PC-7345,logon,1,11,1,"Logon activity from JMH0543 on PC-7345 at January 05, 2010 at 11:53 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 11.",normal,LOW
{P7G8-O9XM52ZN-5871TQVA},2010-01-05 07:35:00,TDS0984,PC-7088,logon,1,7,1,"Logon activity from TDS0984 on PC-7088 at January 05, 2010 at 07:35 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{E9L5-X1HP10UP-3628EYLH},2010-01-04 19:15:00,NGO0690,PC-7031,logoff,0,19,0,"Logoff activity from NGO0690 on PC-7031 at January 04, 2010 at 07:15 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 19.",uncertain,MEDIUM
{D8Q8-I1WU11PO-6590JNBB},2010-01-05 17:11:00,BJH0354,PC-1332,logoff,0,17,1,"Logoff activity from BJH0354 on PC-1332 at January 05, 2010 at 05:11 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{N8K9-Q1QC35JD-5584HTTB},2010-01-05 17:42:00,MKP0861,PC-7614,logoff,0,17,1,"Logoff activity from MKP0861 on PC-7614 at January 05, 2010 at 05:42 PM. Authentication: 0 (Unverified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{Z0S7-I4FT23UG-9039MULO},2010-01-04 17:09:00,UJC0737,PC-9612,logoff,0,17,0,"Logoff activity from UJC0737 on PC-9612 at January 04, 2010 at 05:09 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 17.",uncertain,MEDIUM
{D5F4-B9BC74RW-0739FJYQ},2010-01-03 18:04:00,NOB0181,PC-3446,logoff,0,18,6,"Logoff activity from NOB0181 on PC-3446 at January 03, 2010 at 06:04 PM. Authentication: 0 (Unverified). Temporal Context: Saturday Day (Weekend). Behavioral Marker: Hour 18.",uncertain,HIGH
{N6O5-Z1ND90NP-2609OPPX},2010-01-05 08:07:00,ANM0123,PC-3845,logon,1,8,1,"Logon activity from ANM0123 on PC-3845 at January 05, 2010 at 08:07 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{D5I9-N3SR07IZ-2560JZGE},2010-01-05 08:13:00,HKR0628,PC-6269,logon,1,8,1,"Logon activity from HKR0628 on PC-6269 at January 05, 2010 at 08:13 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{P4Y3-C1IP57LX-4412MFLT},2010-01-05 10:43:27,KES0729,PC-0795,logon,1,10,1,"Logon activity from KES0729 on PC-0795 at January 05, 2010 at 10:43 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 10.",normal,LOW
{X5V7-Y2UH47HJ-6897WKKS},2010-01-04 11:54:44,HAH0760,PC-1038,logon,1,11,0,"Logon activity from HAH0760 on PC-1038 at January 04, 2010 at 11:54 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 11.",uncertain,MEDIUM
{H2K6-I5QI37HF-7165AZXP},2010-01-02 18:40:00,JHP0583,PC-9083,logoff,0,18,5,"Logoff activity from JHP0583 on PC-9083 at January 02, 2010 at 06:40 PM. Authentication: 0 (Unverified). Temporal Context: Friday Day (Weekend). Behavioral Marker: Hour 18.",uncertain,HIGH
{I8K7-D6PJ84PX-6403DIWN},2010-01-05 13:54:47,SAC0592,PC-7310,logon,1,13,1,"Logon activity from SAC0592 on PC-7310 at January 05, 2010 at 01:54 PM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 13.",normal,LOW
{W5X3-I3DD36EK-0465ZZUZ},2010-01-05 08:00:00,CAB0388,PC-6165,logon,1,8,1,"Logon activity from CAB0388 on PC-6165 at January 05, 2010 at 08:00 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{X2D7-U1MX35FT-2021CJVS},2010-01-04 16:15:00,WPR0368,PC-9842,logoff,0,16,0,"Logoff activity from WPR0368 on PC-9842 at January 04, 2010 at 04:15 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 16.",uncertain,MEDIUM
{Z9P5-B3LL13KF-3934HMAX},2010-01-05 08:31:00,MBW0809,PC-5118,logon,1,8,1,"Logon activity from MBW0809 on PC-5118 at January 05, 2010 at 08:31 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{Z2G8-Q4RU38PG-0643MHFG},2010-01-04 07:30:00,RLB0719,PC-6776,logon,1,7,0,"Logon activity from RLB0719 on PC-6776 at January 04, 2010 at 07:30 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{B4I5-V2YZ64YQ-5557VLTK},2010-01-04 09:08:00,NAB0903,PC-8239,logon,1,9,0,"Logon activity from NAB0903 on PC-8239 at January 04, 2010 at 09:08 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 9.",normal,LOW
{E7E8-U5FQ68VI-6205DEEI},2010-01-05 07:45:00,MBR0724,PC-8724,logon,1,7,1,"Logon activity from MBR0724 on PC-8724 at January 05, 2010 at 07:45 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 7.",normal,LOW
{E9A4-H6MO46AO-3795VOQS},2010-01-05 09:19:00,AOS0987,PC-5702,logon,1,9,1,"Logon activity from AOS0987 on PC-5702 at January 05, 2010 at 09:19 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 9.",normal,LOW
{E4B7-E3PU67WQ-5197KGED},2010-01-04 08:15:00,ANM0123,PC-3845,logon,1,8,0,"Logon activity from ANM0123 on PC-3845 at January 04, 2010 at 08:15 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 8.",uncertain,MEDIUM
{F8O2-E1NP06PO-7845SMBW},2010-01-04 07:53:00,TPH0474,PC-7264,logon,1,7,0,"Logon activity from TPH0474 on PC-7264 at January 04, 2010 at 07:53 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{R9R9-Z6YZ25BA-9404CSIB},2010-01-05 09:01:00,WTR0563,PC-7572,logon,1,9,1,"Logon activity from WTR0563 on PC-7572 at January 05, 2010 at 09:01 AM. Authentication: 1 (Verified). Temporal Context: Monday Day (Weekday). Behavioral Marker: Hour 9.",normal,LOW
