id,date,user,pc,activity,hour,dayofweek,activity_binary,text,predicted_label,risk_level
{U2K7-O3MR22UT-4910ZGTX},2010-01-06 15:38:00,AVM0947,PC-0285,Disconnect,15,2,0,"Device activity from AVM0947 on PC-0285 at January 06, 2010 at 03:38 PM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 15.",uncertain,LOW
{N5N6-W5EM73WR-2801TOXV},2010-01-07 08:56:33,SMY0792,PC-5923,Connect,8,3,1,"Device activity from SMY0792 on PC-5923 at January 07, 2010 at 08:56 AM. Activity: Connect (Binary: 1). Occurred on Wed at hour 8.",uncertain,MEDIUM
{Y3R6-K3SG45AR-7094QNSF},2010-01-07 15:29:29,BDI0533,PC-5883,Disconnect,15,3,0,"Device activity from BDI0533 on PC-5883 at January 07, 2010 at 03:29 PM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 15.",uncertain,LOW
{A8L4-C5LT74ZG-6222KHHB},2010-01-06 09:56:45,LCB0664,PC-3196,Connect,9,2,1,"Device activity from LCB0664 on PC-3196 at January 06, 2010 at 09:56 AM. Activity: Connect (Binary: 1). Occurred on Tue at hour 9.",uncertain,MEDIUM
{D3B3-X5OW14BP-9782OVAY},2010-01-04 10:53:54,BDI0533,PC-5883,Disconnect,10,0,0,"Device activity from BDI0533 on PC-5883 at January 04, 2010 at 10:53 AM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 10.",uncertain,LOW
{M9W6-R8KS63LO-6915OUKK},2010-01-04 13:12:23,IIW0249,PC-0843,Connect,13,0,1,"Device activity from IIW0249 on PC-0843 at January 04, 2010 at 01:12 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 13.",uncertain,MEDIUM
{L9Y9-J7KD83CR-6152AXMJ},2010-01-04 10:04:21,VCC0396,PC-4582,Connect,10,0,1,"Device activity from VCC0396 on PC-4582 at January 04, 2010 at 10:04 AM. Activity: Connect (Binary: 1). Occurred on Sun at hour 10.",uncertain,MEDIUM
{R3B0-E5YM35JY-6556SKJP},2010-01-07 13:26:01,BMG0917,PC-6688,Connect,13,3,1,"Device activity from BMG0917 on PC-6688 at January 07, 2010 at 01:26 PM. Activity: Connect (Binary: 1). Occurred on Wed at hour 13.",uncertain,MEDIUM
{N9D2-Q2FO49JY-7610LTYP},2010-01-05 15:23:15,JBD0616,PC-1479,Disconnect,15,1,0,"Device activity from JBD0616 on PC-1479 at January 05, 2010 at 03:23 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 15.",uncertain,LOW
{A5G7-D1TG04RP-0879IOWM},2010-01-06 14:15:21,MDM0625,PC-4984,Connect,14,2,1,"Device activity from MDM0625 on PC-4984 at January 06, 2010 at 02:15 PM. Activity: Connect (Binary: 1). Occurred on Tue at hour 14.",uncertain,MEDIUM
{I6G9-K7DM86ZR-4181OSCG},2010-01-07 16:21:02,HPH0075,PC-2417,Disconnect,16,3,0,"Device activity from HPH0075 on PC-2417 at January 07, 2010 at 04:21 PM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 16.",uncertain,LOW
{H1T2-K8AO48TJ-1492CHMN},2010-01-07 15:00:29,BMG0917,PC-6688,Disconnect,15,3,0,"Device activity from BMG0917 on PC-6688 at January 07, 2010 at 03:00 PM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 15.",uncertain,LOW
{Z2G5-G2JB50TB-2038DCTI},2010-01-07 02:52:12,GTD0219,PC-5081,Disconnect,2,3,0,"Device activity from GTD0219 on PC-5081 at January 07, 2010 at 02:52 AM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 2.",uncertain,LOW
{R7N7-H5IG91JX-5547LTZD},2010-01-04 07:42:34,DRR0162,PC-5168,Connect,7,0,1,"Device activity from DRR0162 on PC-5168 at January 04, 2010 at 07:42 AM. Activity: Connect (Binary: 1). Occurred on Sun at hour 7.",uncertain,MEDIUM
{Y9X0-H5WO32JD-0502WYTQ},2010-01-05 13:36:32,MPM0220,PC-2344,Disconnect,13,1,0,"Device activity from MPM0220 on PC-2344 at January 05, 2010 at 01:36 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 13.",uncertain,LOW
{W9C3-S6LH77HK-5498PIKI},2010-01-05 17:02:06,BJP0134,PC-0898,Disconnect,17,1,0,"Device activity from BJP0134 on PC-0898 at January 05, 2010 at 05:02 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 17.",uncertain,LOW
{D8U0-P6WZ14MP-7131NJAN},2010-01-07 09:46:23,HSB0196,PC-8001,Disconnect,9,3,0,"Device activity from HSB0196 on PC-8001 at January 07, 2010 at 09:46 AM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 9.",uncertain,LOW
{B2J2-H6BL39FT-6725AHDC},2010-01-06 12:33:52,OLW0689,PC-1301,Disconnect,12,2,0,"Device activity from OLW0689 on PC-1301 at January 06, 2010 at 12:33 PM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 12.",uncertain,LOW
{E6W8-I1PQ95ZP-8529PVES},2010-01-06 16:27:48,KKW0879,PC-2531,Connect,16,2,1,"Device activity from KKW0879 on PC-2531 at January 06, 2010 at 04:27 PM. Activity: Connect (Binary: 1). Occurred on Tue at hour 16.",uncertain,MEDIUM
{U4K1-K2ZX59ZR-3163BKSX},2010-01-04 15:49:59,BJP0134,PC-0898,Connect,15,0,1,"Device activity from BJP0134 on PC-0898 at January 04, 2010 at 03:49 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 15.",uncertain,MEDIUM
{Y3A2-K7JU60SA-2409RJHG},2010-01-05 08:41:55,MBJ0312,PC-5250,Disconnect,8,1,0,"Device activity from MBJ0312 on PC-5250 at January 05, 2010 at 08:41 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 8.",uncertain,LOW
{A4S5-M6NI01CS-2647EROT},2010-01-06 12:46:21,KWE0082,PC-1933,Connect,12,2,1,"Device activity from KWE0082 on PC-1933 at January 06, 2010 at 12:46 PM. Activity: Connect (Binary: 1). Occurred on Tue at hour 12.",uncertain,MEDIUM
{J3O0-N0TB21JO-7456SFUP},2010-01-07 08:53:40,KKW0879,PC-2531,Connect,8,3,1,"Device activity from KKW0879 on PC-2531 at January 07, 2010 at 08:53 AM. Activity: Connect (Binary: 1). Occurred on Wed at hour 8.",uncertain,MEDIUM
{C6J0-V4PN99WH-2416MFKV},2010-01-04 12:06:04,SBN0866,PC-8714,Disconnect,12,0,0,"Device activity from SBN0866 on PC-8714 at January 04, 2010 at 12:06 PM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 12.",uncertain,LOW
{G5P9-C9QA97OK-7899XNSZ},2010-01-04 14:10:38,BJM0111,PC-6866,Disconnect,14,0,0,"Device activity from BJM0111 on PC-6866 at January 04, 2010 at 02:10 PM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 14.",uncertain,LOW
{K6W2-I9IY13XJ-6135VBUW},2010-01-06 08:53:31,HSB0196,PC-8001,Disconnect,8,2,0,"Device activity from HSB0196 on PC-8001 at January 06, 2010 at 08:53 AM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 8.",uncertain,LOW
{P9J3-M7MF13QJ-9900PBUV},2010-01-06 09:41:06,CGB0637,PC-8508,Connect,9,2,1,"Device activity from CGB0637 on PC-8508 at January 06, 2010 at 09:41 AM. Activity: Connect (Binary: 1). Occurred on Tue at hour 9.",uncertain,MEDIUM
{W0W5-P8IK46HT-7657FVSZ},2010-01-05 10:57:04,CLB0774,PC-7029,Disconnect,10,1,0,"Device activity from CLB0774 on PC-7029 at January 05, 2010 at 10:57 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 10.",uncertain,LOW
{K5S8-Y3TH84QT-0134BNNF},2010-01-05 14:29:49,CIM0271,PC-3291,Disconnect,14,1,0,"Device activity from CIM0271 on PC-3291 at January 05, 2010 at 02:29 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 14.",uncertain,LOW
{B5J2-O2IO34RE-0250PMCZ},2010-01-04 15:12:08,HCM0267,PC-7651,Disconnect,15,0,0,"Device activity from HCM0267 on PC-7651 at January 04, 2010 at 03:12 PM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 15.",uncertain,LOW
{W4H9-G3DP32TX-2929DWDA},2010-01-05 10:37:46,CLB0774,PC-7029,Disconnect,10,1,0,"Device activity from CLB0774 on PC-7029 at January 05, 2010 at 10:37 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 10.",uncertain,LOW
{M0T5-B8VE08HC-3638HNFV},2010-01-04 08:46:24,OBH0499,PC-7989,Connect,8,0,1,"Device activity from OBH0499 on PC-7989 at January 04, 2010 at 08:46 AM. Activity: Connect (Binary: 1). Occurred on Sun at hour 8.",uncertain,MEDIUM
{Z3J2-P9SM27IN-7219EUBR},2010-01-06 18:09:45,JDF0593,PC-6301,Connect,18,2,1,"Device activity from JDF0593 on PC-6301 at January 06, 2010 at 06:09 PM. Activity: Connect (Binary: 1). Occurred on Tue at hour 18.",uncertain,MEDIUM
{W4J1-O2GT42XM-1909EPRK},2010-01-06 15:27:58,QOS0878,PC-2211,Disconnect,15,2,0,"Device activity from QOS0878 on PC-2211 at January 06, 2010 at 03:27 PM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 15.",uncertain,LOW
{G6X2-N5TG11IM-8722LVTJ},2010-01-04 12:29:38,MPM0220,PC-2344,Connect,12,0,1,"Device activity from MPM0220 on PC-2344 at January 04, 2010 at 12:29 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 12.",uncertain,MEDIUM
{C9B4-F7YR71GQ-0297DXEP},2010-01-04 08:47:02,VIA0063,PC-2684,Connect,8,0,1,"Device activity from VIA0063 on PC-2684 at January 04, 2010 at 08:47 AM. Activity: Connect (Binary: 1). Occurred on Sun at hour 8.",uncertain,MEDIUM
{W1Z8-F5LF95VC-3722RRJU},2010-01-04 15:06:39,DRR0162,PC-5168,Disconnect,15,0,0,"Device activity from DRR0162 on PC-5168 at January 04, 2010 at 03:06 PM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 15.",uncertain,LOW
{Q3I4-V2AC26WK-6121ZPFW},2010-01-06 17:32:00,BSS0369,PC-9873,Disconnect,17,2,0,"Device activity from BSS0369 on PC-9873 at January 06, 2010 at 05:32 PM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 17.",uncertain,LOW
{W4O9-D0IX83CL-0974YBND},2010-01-06 08:52:18,IJM0444,PC-8734,Connect,8,2,1,"Device activity from IJM0444 on PC-8734 at January 06, 2010 at 08:52 AM. Activity: Connect (Binary: 1). Occurred on Tue at hour 8.",uncertain,MEDIUM
{P9K7-V4XJ04HB-2127NUUY},2010-01-05 14:33:24,IUB0565,PC-5775,Connect,14,1,1,"Device activity from IUB0565 on PC-5775 at January 05, 2010 at 02:33 PM. Activity: Connect (Binary: 1). Occurred on Mon at hour 14.",uncertain,MEDIUM
{W4Q3-B5YD21IP-5877GJYG},2010-01-07 08:48:55,CCL0068,PC-7699,Connect,8,3,1,"Device activity from CCL0068 on PC-7699 at January 07, 2010 at 08:48 AM. Activity: Connect (Binary: 1). Occurred on Wed at hour 8.",uncertain,MEDIUM
{I6B3-H7BX11KY-4181KGDW},2010-01-05 21:34:38,EIS0041,PC-7702,Disconnect,21,1,0,"Device activity from EIS0041 on PC-7702 at January 05, 2010 at 09:34 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 21.",uncertain,LOW
{S2V9-O9SH08DD-1299MVPV},2010-01-07 08:35:32,LCB0664,PC-3196,Disconnect,8,3,0,"Device activity from LCB0664 on PC-3196 at January 07, 2010 at 08:35 AM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 8.",uncertain,LOW
{B9J0-Y2ZR50AK-8214JOZW},2010-01-06 10:09:18,MLL0598,PC-0189,Disconnect,10,2,0,"Device activity from MLL0598 on PC-0189 at January 06, 2010 at 10:09 AM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 10.",uncertain,LOW
{Y6S5-G2BE79TL-3849HQLD},2010-01-07 04:19:20,MPM0220,PC-2645,Connect,4,3,1,"Device activity from MPM0220 on PC-2645 at January 07, 2010 at 04:19 AM. Activity: Connect (Binary: 1). Occurred on Wed at hour 4.",uncertain,MEDIUM
{T3C8-I0YS66TJ-5803XLNB},2010-01-04 14:25:20,NWT0098,PC-4667,Connect,14,0,1,"Device activity from NWT0098 on PC-4667 at January 04, 2010 at 02:25 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 14.",uncertain,MEDIUM
{E4P8-U7QA81SB-3298DNXE},2010-01-06 12:36:51,VCC0396,PC-4582,Disconnect,12,2,0,"Device activity from VCC0396 on PC-4582 at January 06, 2010 at 12:36 PM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 12.",uncertain,LOW
{F6L2-T0VK03KP-3544LNUU},2010-01-04 16:40:02,BMG0917,PC-6688,Connect,16,0,1,"Device activity from BMG0917 on PC-6688 at January 04, 2010 at 04:40 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 16.",uncertain,MEDIUM
{O6Z7-D9WF75OZ-5074QOKX},2010-01-05 16:41:15,SAA0999,PC-4559,Disconnect,16,1,0,"Device activity from SAA0999 on PC-4559 at January 05, 2010 at 04:41 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 16.",uncertain,LOW
{K1Z3-I0GU40OH-0582EZHY},2010-01-05 09:51:44,PAD0773,PC-3959,Connect,9,1,1,"Device activity from PAD0773 on PC-3959 at January 05, 2010 at 09:51 AM. Activity: Connect (Binary: 1). Occurred on Mon at hour 9.",uncertain,MEDIUM
{H4T1-V2EW05SW-5470LGGH},2010-01-07 13:56:46,HCM0267,PC-7651,Disconnect,13,3,0,"Device activity from HCM0267 on PC-7651 at January 07, 2010 at 01:56 PM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 13.",uncertain,LOW
{C6C5-I4BQ39LM-8269YZHV},2010-01-03 11:33:45,HSB0196,PC-8001,Disconnect,11,6,0,"Device activity from HSB0196 on PC-8001 at January 03, 2010 at 11:33 AM. Activity: Disconnect (Binary: 0). Occurred on Sat at hour 11.",uncertain,MEDIUM
{M4M7-F5JJ41DN-9779IUCK},2010-01-07 15:30:59,IBB0359,PC-4195,Disconnect,15,3,0,"Device activity from IBB0359 on PC-4195 at January 07, 2010 at 03:30 PM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 15.",uncertain,LOW
{Y6Z3-S9TN37UG-5066KDQL},2010-01-05 11:18:30,MLL0598,PC-0189,Disconnect,11,1,0,"Device activity from MLL0598 on PC-0189 at January 05, 2010 at 11:18 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 11.",uncertain,LOW
{U3M6-Q1HX50EH-6644QMMO},2010-01-02 11:24:49,BQS0525,PC-0269,Connect,11,5,1,"Device activity from BQS0525 on PC-0269 at January 02, 2010 at 11:24 AM. Activity: Connect (Binary: 1). Occurred on Fri at hour 11.",uncertain,HIGH
{L7O9-R2YS42GQ-1313CZDU},2010-01-06 13:59:02,EDB0714,PC-6103,Connect,13,2,1,"Device activity from EDB0714 on PC-6103 at January 06, 2010 at 01:59 PM. Activity: Connect (Binary: 1). Occurred on Tue at hour 13.",uncertain,MEDIUM
{D0U0-V5CX02QF-4815SVEC},2010-01-07 13:59:38,CTA0020,PC-3118,Connect,13,3,1,"Device activity from CTA0020 on PC-3118 at January 07, 2010 at 01:59 PM. Activity: Connect (Binary: 1). Occurred on Wed at hour 13.",uncertain,MEDIUM
{U0W8-I1AG11KM-9874VYQP},2010-01-04 14:37:18,BRS0734,PC-4785,Connect,14,0,1,"Device activity from BRS0734 on PC-4785 at January 04, 2010 at 02:37 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 14.",uncertain,MEDIUM
{Q5Z9-D4GU46AG-2965MCJV},2010-01-06 09:09:14,JJH0613,PC-9171,Connect,9,2,1,"Device activity from JJH0613 on PC-9171 at January 06, 2010 at 09:09 AM. Activity: Connect (Binary: 1). Occurred on Tue at hour 9.",uncertain,MEDIUM
{Y0S0-R9XX51EC-4256VMNL},2010-01-05 08:13:46,EIS0041,PC-9255,Disconnect,8,1,0,"Device activity from EIS0041 on PC-9255 at January 05, 2010 at 08:13 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 8.",uncertain,LOW
{E6O5-Y8FJ24OZ-6305KPCD},2010-01-05 15:06:56,THR0873,PC-4804,Disconnect,15,1,0,"Device activity from THR0873 on PC-4804 at January 05, 2010 at 03:06 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 15.",uncertain,LOW
{G0P7-N6ZN16HX-9344TXEC},2010-01-04 21:29:17,AJF0370,PC-8164,Connect,21,0,1,"Device activity from AJF0370 on PC-8164 at January 04, 2010 at 09:29 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 21.",uncertain,MEDIUM
{I5H5-V3JJ09EW-9062UBAV},2010-01-05 15:49:01,IBB0359,PC-4195,Disconnect,15,1,0,"Device activity from IBB0359 on PC-4195 at January 05, 2010 at 03:49 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 15.",uncertain,LOW
{Z5E2-Z6QG92JL-9043GBDS},2010-01-07 08:18:34,KKW0879,PC-2531,Disconnect,8,3,0,"Device activity from KKW0879 on PC-2531 at January 07, 2010 at 08:18 AM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 8.",uncertain,LOW
{H4R1-H6CA71QI-0326BHGM},2010-01-06 11:18:32,HRL0540,PC-1117,Disconnect,11,2,0,"Device activity from HRL0540 on PC-1117 at January 06, 2010 at 11:18 AM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 11.",uncertain,LOW
{E7X7-A5QR71JL-9827WMMJ},2010-01-07 13:17:35,BQS0525,PC-0269,Connect,13,3,1,"Device activity from BQS0525 on PC-0269 at January 07, 2010 at 01:17 PM. Activity: Connect (Binary: 1). Occurred on Wed at hour 13.",uncertain,MEDIUM
{I0U6-M5JO12ZM-0037MARG},2010-01-04 06:02:37,CCA0046,PC-4729,Disconnect,6,0,0,"Device activity from CCA0046 on PC-4729 at January 04, 2010 at 06:02 AM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 6.",uncertain,LOW
{M7Y2-R3MS66WV-6178EWNK},2010-01-07 15:39:59,HDS0367,PC-8680,Connect,15,3,1,"Device activity from HDS0367 on PC-8680 at January 07, 2010 at 03:39 PM. Activity: Connect (Binary: 1). Occurred on Wed at hour 15.",uncertain,MEDIUM
{T0J7-P1CZ28NJ-7102AHXA},2010-01-04 12:50:33,WIF0691,PC-6390,Disconnect,12,0,0,"Device activity from WIF0691 on PC-6390 at January 04, 2010 at 12:50 PM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 12.",uncertain,LOW
{Z0M2-Q1BP73HW-6337OXHU},2010-01-05 08:20:23,HPH0075,PC-2417,Disconnect,8,1,0,"Device activity from HPH0075 on PC-2417 at January 05, 2010 at 08:20 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 8.",uncertain,LOW
{G9X8-B9VV05IC-2405LKMR},2010-01-04 15:10:50,JDB0169,PC-7502,Disconnect,15,0,0,"Device activity from JDB0169 on PC-7502 at January 04, 2010 at 03:10 PM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 15.",uncertain,LOW
{Q0X0-T3XB50OP-6644GBXZ},2010-01-05 08:56:53,AJF0370,PC-8651,Connect,8,1,1,"Device activity from AJF0370 on PC-8651 at January 05, 2010 at 08:56 AM. Activity: Connect (Binary: 1). Occurred on Mon at hour 8.",uncertain,MEDIUM
{Y9R3-C9ZI53MK-8698ZMZA},2010-01-06 14:24:52,HRL0540,PC-1117,Connect,14,2,1,"Device activity from HRL0540 on PC-1117 at January 06, 2010 at 02:24 PM. Activity: Connect (Binary: 1). Occurred on Tue at hour 14.",uncertain,MEDIUM
{P6H6-W9HY24AR-8791XOTD},2010-01-06 11:46:01,BSS0369,PC-3672,Disconnect,11,2,0,"Device activity from BSS0369 on PC-3672 at January 06, 2010 at 11:46 AM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 11.",uncertain,LOW
{H5F6-Q6SX55VV-0397FBBW},2010-01-05 14:54:48,LCB0664,PC-3196,Connect,14,1,1,"Device activity from LCB0664 on PC-3196 at January 05, 2010 at 02:54 PM. Activity: Connect (Binary: 1). Occurred on Mon at hour 14.",uncertain,MEDIUM
{R2X7-Z4PJ40US-9919MVBH},2010-01-06 15:14:03,JDB0169,PC-7502,Disconnect,15,2,0,"Device activity from JDB0169 on PC-7502 at January 06, 2010 at 03:14 PM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 15.",uncertain,LOW
{Q7M4-R4WC87KV-3829PLBZ},2010-01-07 15:19:09,OBH0499,PC-7989,Disconnect,15,3,0,"Device activity from OBH0499 on PC-7989 at January 07, 2010 at 03:19 PM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 15.",uncertain,LOW
{Q6D3-D5GO88DL-9855WLCK},2010-01-05 15:05:33,MLM0950,PC-9787,Disconnect,15,1,0,"Device activity from MLM0950 on PC-9787 at January 05, 2010 at 03:05 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 15.",uncertain,LOW
{O5M1-G2RC89KO-6225DLDX},2010-01-04 13:44:04,MPM0220,PC-2344,Disconnect,13,0,0,"Device activity from MPM0220 on PC-2344 at January 04, 2010 at 01:44 PM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 13.",uncertain,LOW
{P3E4-R6DC15RI-5126UJYV},2010-01-07 15:51:19,NMS0280,PC-8262,Connect,15,3,1,"Device activity from NMS0280 on PC-8262 at January 07, 2010 at 03:51 PM. Activity: Connect (Binary: 1). Occurred on Wed at hour 15.",uncertain,MEDIUM
{P2Z0-H9RW79YK-7002OOIN},2010-01-06 10:54:08,MDH0580,PC-4579,Disconnect,10,2,0,"Device activity from MDH0580 on PC-4579 at January 06, 2010 at 10:54 AM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 10.",uncertain,LOW
{Y5P0-P8CQ47CP-5082UHIA},2010-01-07 12:59:42,AVM0947,PC-0285,Connect,12,3,1,"Device activity from AVM0947 on PC-0285 at January 07, 2010 at 12:59 PM. Activity: Connect (Binary: 1). Occurred on Wed at hour 12.",uncertain,MEDIUM
{O4E2-H7CY39CL-1754AXYG},2010-01-06 01:19:40,AJF0370,PC-9140,Disconnect,1,2,0,"Device activity from AJF0370 on PC-9140 at January 06, 2010 at 01:19 AM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 1.",uncertain,LOW
{R9X1-K9RE28KG-4808PNXV},2010-01-05 08:06:54,TNM0961,PC-2030,Disconnect,8,1,0,"Device activity from TNM0961 on PC-2030 at January 05, 2010 at 08:06 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 8.",uncertain,LOW
{F0K9-E3PH08IJ-7327YNTD},2010-01-04 13:27:46,DPM0423,PC-2567,Disconnect,13,0,0,"Device activity from DPM0423 on PC-2567 at January 04, 2010 at 01:27 PM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 13.",uncertain,LOW
{A0I5-X1RC49BZ-2271FBMB},2010-01-04 15:27:47,LCB0664,PC-3196,Connect,15,0,1,"Device activity from LCB0664 on PC-3196 at January 04, 2010 at 03:27 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 15.",uncertain,MEDIUM
{U0M8-E9XM26AM-1957RAUV},2010-01-07 08:08:55,IIW0249,PC-0843,Connect,8,3,1,"Device activity from IIW0249 on PC-0843 at January 07, 2010 at 08:08 AM. Activity: Connect (Binary: 1). Occurred on Wed at hour 8.",uncertain,MEDIUM
{F3X4-L8OY80GU-2889MPWD},2010-01-06 15:01:23,MBJ0312,PC-5250,Disconnect,15,2,0,"Device activity from MBJ0312 on PC-5250 at January 06, 2010 at 03:01 PM. Activity: Disconnect (Binary: 0). Occurred on Tue at hour 15.",uncertain,LOW
{A7N1-N4VB63DH-6878YNJK},2010-01-07 10:55:42,WIF0691,PC-6390,Disconnect,10,3,0,"Device activity from WIF0691 on PC-6390 at January 07, 2010 at 10:55 AM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 10.",uncertain,LOW
{X4F0-A7GS38CH-4366BRDZ},2010-01-05 11:27:24,JDC0030,PC-0246,Disconnect,11,1,0,"Device activity from JDC0030 on PC-0246 at January 05, 2010 at 11:27 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 11.",uncertain,LOW
{F5L8-A9CZ70HI-2484XOSZ},2010-01-04 08:33:35,HXL0968,PC-0623,Disconnect,8,0,0,"Device activity from HXL0968 on PC-0623 at January 04, 2010 at 08:33 AM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 8.",uncertain,LOW
{D0J0-G9ET56RQ-2439BTOU},2010-01-07 15:32:10,BJM0111,PC-6866,Disconnect,15,3,0,"Device activity from BJM0111 on PC-6866 at January 07, 2010 at 03:32 PM. Activity: Disconnect (Binary: 0). Occurred on Wed at hour 15.",uncertain,LOW
{O5Q7-U7TT87UJ-0247DWYO},2010-01-06 13:52:21,QRM0739,PC-7343,Connect,13,2,1,"Device activity from QRM0739 on PC-7343 at January 06, 2010 at 01:52 PM. Activity: Connect (Binary: 1). Occurred on Tue at hour 13.",uncertain,MEDIUM
{R5N8-Z6GZ61VW-9749IQRL},2010-01-06 07:42:06,PDH0716,PC-0379,Connect,7,2,1,"Device activity from PDH0716 on PC-0379 at January 06, 2010 at 07:42 AM. Activity: Connect (Binary: 1). Occurred on Tue at hour 7.",uncertain,MEDIUM
{L8V9-N9EG58ES-4612UAYE},2010-01-07 16:14:09,MLL0598,PC-0189,Connect,16,3,1,"Device activity from MLL0598 on PC-0189 at January 07, 2010 at 04:14 PM. Activity: Connect (Binary: 1). Occurred on Wed at hour 16.",uncertain,MEDIUM
{T7R9-F0YO75DK-7471DSXR},2010-01-04 11:49:00,CWR0502,PC-3737,Disconnect,11,0,0,"Device activity from CWR0502 on PC-3737 at January 04, 2010 at 11:49 AM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 11.",uncertain,LOW
{J0H3-H3JE81JL-5656UAYU},2010-01-06 05:48:53,BAL0044,PC-1514,Connect,5,2,1,"Device activity from BAL0044 on PC-1514 at January 06, 2010 at 05:48 AM. Activity: Connect (Binary: 1). Occurred on Tue at hour 5.",uncertain,MEDIUM
{X1A9-F6ZU52KN-6759YLTN},2010-01-06 07:46:48,HCM0267,PC-7651,Connect,7,2,1,"Device activity from HCM0267 on PC-7651 at January 06, 2010 at 07:46 AM. Activity: Connect (Binary: 1). Occurred on Tue at hour 7.",uncertain,MEDIUM
{M5Y7-Y4KE59RF-8752GJUY},2010-01-07 12:59:56,JDF0593,PC-6301,Connect,12,3,1,"Device activity from JDF0593 on PC-6301 at January 07, 2010 at 12:59 PM. Activity: Connect (Binary: 1). Occurred on Wed at hour 12.",uncertain,MEDIUM
{B3V8-G2WP46WT-6446KBKC},2010-01-04 08:00:12,LCB0664,PC-3196,Disconnect,8,0,0,"Device activity from LCB0664 on PC-3196 at January 04, 2010 at 08:00 AM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 8.",uncertain,LOW
{N1L2-Q2MG86WX-7503NXJG},2010-01-05 09:29:39,IIW0249,PC-0843,Disconnect,9,1,0,"Device activity from IIW0249 on PC-0843 at January 05, 2010 at 09:29 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 9.",uncertain,LOW
{W5R6-S6YS88GM-6104OVMT},2010-01-04 12:48:05,MLL0598,PC-0189,Connect,12,0,1,"Device activity from MLL0598 on PC-0189 at January 04, 2010 at 12:48 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 12.",uncertain,MEDIUM
