id,date,user,pc,activity,text,predicted_label,risk_level
{Q4C4-D3QS47IE-8349LHUA},1/8/2010 9:41,DTAA/PMB0702,PC-1792,Connect,"User DTAA/PMB0702 connect PC-1792 on August 01, 2010 at 09:41 AM. Session ID: {Q4C4-D3QS47IE-8349LHUA}",normal,LOW
{A3B3-D4RH70DT-8331XQZO},1/8/2010 9:46,DTAA/SLC0778,PC-3199,Connect,"User DTAA/SLC0778 connect PC-3199 on August 01, 2010 at 09:46 AM. Session ID: {A3B3-D4RH70DT-8331XQZO}",normal,LOW
{O2T0-X4CE66KH-4682WLIF},1/8/2010 9:52,DTAA/JJR0278,PC-1005,Disconnect,"User DTAA/JJR0278 disconnect PC-1005 on August 01, 2010 at 09:52 AM. Session ID: {O2T0-X4CE66KH-4682WLIF}",normal,MEDIUM
{X0A1-A7MY17RP-8660KHMO},1/8/2010 9:53,DTAA/JLM0053,PC-1334,Connect,"User DTAA/JLM0053 connect PC-1334 on August 01, 2010 at 09:53 AM. Session ID: {X0A1-A7MY17RP-8660KHMO}",normal,LOW
{S0G9-G8JU38XB-4537JIZV},1/8/2010 9:54,DTAA/HSR0472,PC-3512,Connect,"User DTAA/HSR0472 connect PC-3512 on August 01, 2010 at 09:54 AM. Session ID: {S0G9-G8JU38XB-4537JIZV}",normal,LOW
{G7W6-A1HI75QR-2721XBZV},1/8/2010 10:06,DTAA/VMA0051,PC-1950,Disconnect,"User DTAA/VMA0051 disconnect PC-1950 on August 01, 2010 at 10:06 AM. Session ID: {G7W6-A1HI75QR-2721XBZV}",normal,MEDIUM
{R9G8-R2OZ51ZQ-1097CQQD},1/8/2010 10:07,DTAA/DAV0579,PC-1701,Disconnect,"User DTAA/DAV0579 disconnect PC-1701 on August 01, 2010 at 10:07 AM. Session ID: {R9G8-R2OZ51ZQ-1097CQQD}",normal,MEDIUM
{P5O9-L4ZY60KF-5576NMOF},1/8/2010 10:08,DTAA/AFR0646,PC-0323,Connect,"User DTAA/AFR0646 connect PC-0323 on August 01, 2010 at 10:08 AM. Session ID: {P5O9-L4ZY60KF-5576NMOF}",normal,LOW
{I7X2-F8TS96YG-7287YEUD},1/8/2010 10:09,DTAA/CHA0174,PC-2751,Connect,"User DTAA/CHA0174 connect PC-2751 on August 01, 2010 at 10:09 AM. Session ID: {I7X2-F8TS96YG-7287YEUD}",normal,LOW
{M7N9-N8JR92DV-9878XCFI},1/8/2010 10:12,DTAA/YCB0005,PC-3392,Connect,"User DTAA/YCB0005 connect PC-3392 on August 01, 2010 at 10:12 AM. Session ID: {M7N9-N8JR92DV-9878XCFI}",normal,LOW
{A7Y9-O2XS08EG-3196TLNO},1/8/2010 10:15,DTAA/JLC0744,PC-4788,Connect,"User DTAA/JLC0744 connect PC-4788 on August 01, 2010 at 10:15 AM. Session ID: {A7Y9-O2XS08EG-3196TLNO}",normal,LOW
{X1D7-M0CA90PC-8512UERV},1/8/2010 10:16,DTAA/OJH0425,PC-1730,Connect,"User DTAA/OJH0425 connect PC-1730 on August 01, 2010 at 10:16 AM. Session ID: {X1D7-M0CA90PC-8512UERV}",normal,LOW
{N1U1-B8GF31CF-6878HKCY},1/8/2010 10:19,DTAA/NSP0910,PC-4479,Connect,"User DTAA/NSP0910 connect PC-4479 on August 01, 2010 at 10:19 AM. Session ID: {N1U1-B8GF31CF-6878HKCY}",normal,LOW
{C5G2-M8PG56KY-1816SGIT},1/8/2010 10:19,DTAA/JMS0793,PC-3179,Connect,"User DTAA/JMS0793 connect PC-3179 on August 01, 2010 at 10:19 AM. Session ID: {C5G2-M8PG56KY-1816SGIT}",normal,LOW
{Y5D2-D4CH59OZ-3586PLPZ},1/8/2010 10:20,DTAA/WDW0485,PC-3096,Connect,"User DTAA/WDW0485 connect PC-3096 on August 01, 2010 at 10:20 AM. Session ID: {Y5D2-D4CH59OZ-3586PLPZ}",normal,LOW
{K3J3-M7IQ67SY-6301NFJT},1/8/2010 10:25,DTAA/AIB0797,PC-4147,Connect,"User DTAA/AIB0797 connect PC-4147 on August 01, 2010 at 10:25 AM. Session ID: {K3J3-M7IQ67SY-6301NFJT}",normal,LOW
{V0R2-H4OD74UU-6039JGXT},1/8/2010 10:26,DTAA/RBC0879,PC-1261,Connect,"User DTAA/RBC0879 connect PC-1261 on August 01, 2010 at 10:26 AM. Session ID: {V0R2-H4OD74UU-6039JGXT}",normal,LOW
{X5U4-Q7YN26KW-2463PQBD},1/8/2010 10:28,DTAA/NNB0443,PC-4625,Connect,"User DTAA/NNB0443 connect PC-4625 on August 01, 2010 at 10:28 AM. Session ID: {X5U4-Q7YN26KW-2463PQBD}",normal,LOW
{S9Z8-S4BM45YS-6422FNDR},1/8/2010 10:31,DTAA/EMR0242,PC-1306,Connect,"User DTAA/EMR0242 connect PC-1306 on August 01, 2010 at 10:31 AM. Session ID: {S9Z8-S4BM45YS-6422FNDR}",normal,LOW
{X1E4-I9HR87KK-1966VRZW},1/8/2010 10:32,DTAA/IRC0991,PC-1118,Connect,"User DTAA/IRC0991 connect PC-1118 on August 01, 2010 at 10:32 AM. Session ID: {X1E4-I9HR87KK-1966VRZW}",normal,LOW
{T4C3-J5HX18VN-0407AMVI},1/8/2010 10:33,DTAA/OYR0801,PC-0088,Connect,"User DTAA/OYR0801 connect PC-0088 on August 01, 2010 at 10:33 AM. Session ID: {T4C3-J5HX18VN-0407AMVI}",normal,LOW
{X8V1-F1UV34WV-0378IKSJ},1/8/2010 10:43,DTAA/GVH0277,PC-3870,Connect,"User DTAA/GVH0277 connect PC-3870 on August 01, 2010 at 10:43 AM. Session ID: {X8V1-F1UV34WV-0378IKSJ}",normal,LOW
{Z8B2-P3OB25FA-6694WQQP},1/8/2010 10:44,DTAA/CAW0976,PC-4600,Connect,"User DTAA/CAW0976 connect PC-4600 on August 01, 2010 at 10:44 AM. Session ID: {Z8B2-P3OB25FA-6694WQQP}",normal,LOW
{A1X4-A4SZ20GP-5210SRFG},1/8/2010 10:45,DTAA/GSL0697,PC-3442,Connect,"User DTAA/GSL0697 connect PC-3442 on August 01, 2010 at 10:45 AM. Session ID: {A1X4-A4SZ20GP-5210SRFG}",normal,LOW
{Q6P1-F3NF04KP-5760NYBQ},1/8/2010 10:46,DTAA/YCB0005,PC-3392,Disconnect,"User DTAA/YCB0005 disconnect PC-3392 on August 01, 2010 at 10:46 AM. Session ID: {Q6P1-F3NF04KP-5760NYBQ}",normal,MEDIUM
{H5A8-K9AU32BO-2638ZBIM},1/8/2010 10:48,DTAA/DDK0417,PC-0980,Connect,"User DTAA/DDK0417 connect PC-0980 on August 01, 2010 at 10:48 AM. Session ID: {H5A8-K9AU32BO-2638ZBIM}",normal,LOW
{X2X0-A4RV12TW-0504GMIP},1/8/2010 10:49,DTAA/GVH0277,PC-3870,Disconnect,"User DTAA/GVH0277 disconnect PC-3870 on August 01, 2010 at 10:49 AM. Session ID: {X2X0-A4RV12TW-0504GMIP}",normal,MEDIUM
{T2Y8-M7EY74SG-3467SVVM},1/8/2010 10:55,DTAA/SPK0818,PC-1938,Connect,"User DTAA/SPK0818 connect PC-1938 on August 01, 2010 at 10:55 AM. Session ID: {T2Y8-M7EY74SG-3467SVVM}",normal,LOW
{N3S6-N4TM54LN-7868BWPW},1/8/2010 11:04,DTAA/JLM0053,PC-1334,Disconnect,"User DTAA/JLM0053 disconnect PC-1334 on August 01, 2010 at 11:04 AM. Session ID: {N3S6-N4TM54LN-7868BWPW}",normal,MEDIUM
{U2V2-S9WE12ZS-2491CUMO},1/8/2010 11:08,DTAA/RCW0436,PC-3171,Connect,"User DTAA/RCW0436 connect PC-3171 on August 01, 2010 at 11:08 AM. Session ID: {U2V2-S9WE12ZS-2491CUMO}",normal,LOW
{U9O4-X9GM35JB-2621MFIZ},1/8/2010 11:08,DTAA/TLB0017,PC-0053,Connect,"User DTAA/TLB0017 connect PC-0053 on August 01, 2010 at 11:08 AM. Session ID: {U9O4-X9GM35JB-2621MFIZ}",normal,LOW
{T4R4-J0VX72OM-2617NITL},1/8/2010 11:11,DTAA/SEF0446,PC-2477,Disconnect,"User DTAA/SEF0446 disconnect PC-2477 on August 01, 2010 at 11:11 AM. Session ID: {T4R4-J0VX72OM-2617NITL}",normal,MEDIUM
{D3G4-T7AZ41JZ-4575HSBQ},1/8/2010 11:12,DTAA/ACH0803,PC-4334,Connect,"User DTAA/ACH0803 connect PC-4334 on August 01, 2010 at 11:12 AM. Session ID: {D3G4-T7AZ41JZ-4575HSBQ}",normal,LOW
{N1K8-V9TT93BH-6174EPAJ},1/8/2010 11:12,DTAA/HKM0260,PC-4359,Connect,"User DTAA/HKM0260 connect PC-4359 on August 01, 2010 at 11:12 AM. Session ID: {N1K8-V9TT93BH-6174EPAJ}",normal,LOW
{P2K3-W0FA57LB-3202VYZD},1/8/2010 11:13,DTAA/HTC0607,PC-1033,Connect,"User DTAA/HTC0607 connect PC-1033 on August 01, 2010 at 11:13 AM. Session ID: {P2K3-W0FA57LB-3202VYZD}",normal,LOW
{E3L2-W1UV31CW-1811HFUI},1/8/2010 11:14,DTAA/SPK0818,PC-1938,Disconnect,"User DTAA/SPK0818 disconnect PC-1938 on August 01, 2010 at 11:14 AM. Session ID: {E3L2-W1UV31CW-1811HFUI}",normal,MEDIUM
{G7E5-K0YA85FU-0678SZYS},1/8/2010 11:18,DTAA/AQG0678,PC-1127,Connect,"User DTAA/AQG0678 connect PC-1127 on August 01, 2010 at 11:18 AM. Session ID: {G7E5-K0YA85FU-0678SZYS}",normal,LOW
{F2H5-Q2TP40VQ-0727QQEO},1/8/2010 11:20,DTAA/CTH0856,PC-4677,Connect,"User DTAA/CTH0856 connect PC-4677 on August 01, 2010 at 11:20 AM. Session ID: {F2H5-Q2TP40VQ-0727QQEO}",normal,LOW
{Z8T2-T9JR30RN-3407HFOI},1/8/2010 11:23,DTAA/IRC0991,PC-1118,Disconnect,"User DTAA/IRC0991 disconnect PC-1118 on August 01, 2010 at 11:23 AM. Session ID: {Z8T2-T9JR30RN-3407HFOI}",normal,MEDIUM
{K4W3-D4JQ82BQ-8996YVAZ},1/8/2010 11:23,DTAA/PXB0069,PC-1972,Connect,"User DTAA/PXB0069 connect PC-1972 on August 01, 2010 at 11:23 AM. Session ID: {K4W3-D4JQ82BQ-8996YVAZ}",normal,LOW
{A8Z8-X1DL57ZX-3300IXRE},1/8/2010 11:25,DTAA/EBP0037,PC-2088,Disconnect,"User DTAA/EBP0037 disconnect PC-2088 on August 01, 2010 at 11:25 AM. Session ID: {A8Z8-X1DL57ZX-3300IXRE}",normal,MEDIUM
{E7F2-C5PD60VA-1741KLCJ},1/8/2010 11:26,DTAA/NSC0842,PC-4132,Connect,"User DTAA/NSC0842 connect PC-4132 on August 01, 2010 at 11:26 AM. Session ID: {E7F2-C5PD60VA-1741KLCJ}",normal,LOW
{B8L0-B8MP42QY-4235XVGA},1/8/2010 11:28,DTAA/AGW0182,PC-4531,Connect,"User DTAA/AGW0182 connect PC-4531 on August 01, 2010 at 11:28 AM. Session ID: {B8L0-B8MP42QY-4235XVGA}",normal,LOW
{V7L3-L4XV98LM-3629PESD},1/8/2010 11:28,DTAA/LRH0747,PC-2216,Connect,"User DTAA/LRH0747 connect PC-2216 on August 01, 2010 at 11:28 AM. Session ID: {V7L3-L4XV98LM-3629PESD}",normal,LOW
{X8K7-W5JE26BF-2246LUGO},1/8/2010 11:30,DTAA/VCG0663,PC-2219,Connect,"User DTAA/VCG0663 connect PC-2219 on August 01, 2010 at 11:30 AM. Session ID: {X8K7-W5JE26BF-2246LUGO}",normal,LOW
{B2F8-D8IH75UI-5898WBCC},1/8/2010 11:31,DTAA/PIP0746,PC-0416,Connect,"User DTAA/PIP0746 connect PC-0416 on August 01, 2010 at 11:31 AM. Session ID: {B2F8-D8IH75UI-5898WBCC}",normal,LOW
{K1D3-P2DF23NO-3448NILJ},1/8/2010 11:37,DTAA/CAC0854,PC-0303,Connect,"User DTAA/CAC0854 connect PC-0303 on August 01, 2010 at 11:37 AM. Session ID: {K1D3-P2DF23NO-3448NILJ}",normal,LOW
{V4S2-V8RS59HP-0912NAFD},1/8/2010 11:37,DTAA/CAC0854,PC-0303,Disconnect,"User DTAA/CAC0854 disconnect PC-0303 on August 01, 2010 at 11:37 AM. Session ID: {V4S2-V8RS59HP-0912NAFD}",normal,MEDIUM
{Y0H5-L4TO60GM-4425LIBJ},1/8/2010 11:38,DTAA/MIK0034,PC-0845,Disconnect,"User DTAA/MIK0034 disconnect PC-0845 on August 01, 2010 at 11:38 AM. Session ID: {Y0H5-L4TO60GM-4425LIBJ}",normal,MEDIUM
{O4V4-S1JV44KH-3292MQMJ},1/8/2010 11:43,DTAA/HKM0260,PC-4359,Disconnect,"User DTAA/HKM0260 disconnect PC-4359 on August 01, 2010 at 11:43 AM. Session ID: {O4V4-S1JV44KH-3292MQMJ}",normal,MEDIUM
{C0T9-L3VF29FS-6579SWTN},1/8/2010 11:47,DTAA/CTH0856,PC-4677,Disconnect,"User DTAA/CTH0856 disconnect PC-4677 on August 01, 2010 at 11:47 AM. Session ID: {C0T9-L3VF29FS-6579SWTN}",normal,MEDIUM
{L7V5-B6HM55EM-7165NQDY},1/8/2010 11:47,DTAA/HTC0607,PC-1033,Disconnect,"User DTAA/HTC0607 disconnect PC-1033 on August 01, 2010 at 11:47 AM. Session ID: {L7V5-B6HM55EM-7165NQDY}",normal,MEDIUM
{Y5M9-Y8BD76FK-6659YYMT},1/8/2010 11:54,DTAA/DIS0382,PC-2501,Connect,"User DTAA/DIS0382 connect PC-2501 on August 01, 2010 at 11:54 AM. Session ID: {Y5M9-Y8BD76FK-6659YYMT}",normal,LOW
{A6K2-F5WD08CJ-5742MAQG},1/8/2010 11:55,DTAA/AGW0182,PC-4531,Disconnect,"User DTAA/AGW0182 disconnect PC-4531 on August 01, 2010 at 11:55 AM. Session ID: {A6K2-F5WD08CJ-5742MAQG}",normal,MEDIUM
{J6C4-R5PR34KX-1908BYNJ},1/8/2010 12:06,DTAA/NSC0842,PC-4132,Disconnect,"User DTAA/NSC0842 disconnect PC-4132 on August 01, 2010 at 12:06 PM. Session ID: {J6C4-R5PR34KX-1908BYNJ}",normal,MEDIUM
{M4Z1-G9CA27SU-4189WGGH},1/8/2010 12:07,DTAA/NSP0910,PC-4479,Disconnect,"User DTAA/NSP0910 disconnect PC-4479 on August 01, 2010 at 12:07 PM. Session ID: {M4Z1-G9CA27SU-4189WGGH}",normal,MEDIUM
{K7R2-B1KL63CI-1064FGKF},1/8/2010 12:10,DTAA/FUA0154,PC-1985,Connect,"User DTAA/FUA0154 connect PC-1985 on August 01, 2010 at 12:10 PM. Session ID: {K7R2-B1KL63CI-1064FGKF}",normal,LOW
{R6B7-K3BE65LN-1260POLR},1/8/2010 12:16,DTAA/IKH0904,PC-3664,Connect,"User DTAA/IKH0904 connect PC-3664 on August 01, 2010 at 12:16 PM. Session ID: {R6B7-K3BE65LN-1260POLR}",normal,LOW
{T0R1-I3OQ97ZB-1848YRKF},1/8/2010 12:21,DTAA/SHR0025,PC-0288,Connect,"User DTAA/SHR0025 connect PC-0288 on August 01, 2010 at 12:21 PM. Session ID: {T0R1-I3OQ97ZB-1848YRKF}",normal,LOW
{J9A6-H2DM14UL-7087FRLM},1/8/2010 12:26,DTAA/SHR0025,PC-0288,Disconnect,"User DTAA/SHR0025 disconnect PC-0288 on August 01, 2010 at 12:26 PM. Session ID: {J9A6-H2DM14UL-7087FRLM}",normal,MEDIUM
{T5V7-V7ND37NI-6043JLHD},1/8/2010 12:28,DTAA/DIS0382,PC-2501,Disconnect,"User DTAA/DIS0382 disconnect PC-2501 on August 01, 2010 at 12:28 PM. Session ID: {T5V7-V7ND37NI-6043JLHD}",normal,MEDIUM
{T5K0-I4VN76DY-3227NZRU},1/8/2010 12:30,DTAA/BJC0569,PC-2588,Connect,"User DTAA/BJC0569 connect PC-2588 on August 01, 2010 at 12:30 PM. Session ID: {T5K0-I4VN76DY-3227NZRU}",normal,LOW
{Z9B0-Q5EK85MM-5855XZJJ},1/8/2010 12:32,DTAA/NDS0490,PC-2549,Disconnect,"User DTAA/NDS0490 disconnect PC-2549 on August 01, 2010 at 12:32 PM. Session ID: {Z9B0-Q5EK85MM-5855XZJJ}",normal,MEDIUM
{U0N0-J6EA59IZ-9778TOEA},1/8/2010 12:34,DTAA/AJC0266,PC-4661,Connect,"User DTAA/AJC0266 connect PC-4661 on August 01, 2010 at 12:34 PM. Session ID: {U0N0-J6EA59IZ-9778TOEA}",normal,LOW
{B7L2-Q2TE47OJ-4930SBBZ},1/8/2010 12:34,DTAA/LID0942,PC-3769,Connect,"User DTAA/LID0942 connect PC-3769 on August 01, 2010 at 12:34 PM. Session ID: {B7L2-Q2TE47OJ-4930SBBZ}",normal,LOW
{D1Y7-L6MR61FE-8294BMPO},1/8/2010 12:35,DTAA/NNB0443,PC-4625,Disconnect,"User DTAA/NNB0443 disconnect PC-4625 on August 01, 2010 at 12:35 PM. Session ID: {D1Y7-L6MR61FE-8294BMPO}",normal,MEDIUM
{T6M0-F1JV52QP-7942ADEB},1/8/2010 12:39,DTAA/JAM0392,PC-0209,Disconnect,"User DTAA/JAM0392 disconnect PC-0209 on August 01, 2010 at 12:39 PM. Session ID: {T6M0-F1JV52QP-7942ADEB}",normal,MEDIUM
{C1T7-E2WR69QG-5994JUGX},1/8/2010 12:43,DTAA/JLC0744,PC-4788,Disconnect,"User DTAA/JLC0744 disconnect PC-4788 on August 01, 2010 at 12:43 PM. Session ID: {C1T7-E2WR69QG-5994JUGX}",normal,MEDIUM
{V6Q1-W1YE73PG-9715EXGG},1/8/2010 12:45,DTAA/MMF0289,PC-1734,Connect,"User DTAA/MMF0289 connect PC-1734 on August 01, 2010 at 12:45 PM. Session ID: {V6Q1-W1YE73PG-9715EXGG}",normal,LOW
{D5V6-Z4VT06KF-1847JMWM},1/8/2010 12:47,DTAA/OJH0425,PC-1730,Disconnect,"User DTAA/OJH0425 disconnect PC-1730 on August 01, 2010 at 12:47 PM. Session ID: {D5V6-Z4VT06KF-1847JMWM}",normal,MEDIUM
{Z9T7-R1PN23ER-8461ESAC},1/8/2010 12:50,DTAA/WJG0153,PC-3249,Connect,"User DTAA/WJG0153 connect PC-3249 on August 01, 2010 at 12:50 PM. Session ID: {Z9T7-R1PN23ER-8461ESAC}",normal,LOW
{U3C5-T4RU33UY-3721VHDL},1/8/2010 12:52,DTAA/IKH0904,PC-3664,Disconnect,"User DTAA/IKH0904 disconnect PC-3664 on August 01, 2010 at 12:52 PM. Session ID: {U3C5-T4RU33UY-3721VHDL}",normal,MEDIUM
{M4S7-A6LT85XU-4148QHOU},1/8/2010 12:56,DTAA/AJC0266,PC-4661,Disconnect,"User DTAA/AJC0266 disconnect PC-4661 on August 01, 2010 at 12:56 PM. Session ID: {M4S7-A6LT85XU-4148QHOU}",normal,MEDIUM
{X4Y5-H2FB65YZ-3990ZVOS},1/8/2010 12:57,DTAA/ATJ0284,PC-4337,Connect,"User DTAA/ATJ0284 connect PC-4337 on August 01, 2010 at 12:57 PM. Session ID: {X4Y5-H2FB65YZ-3990ZVOS}",normal,LOW
{M0S3-T5JX75ZE-7022ZAFF},1/8/2010 13:09,DTAA/LID0942,PC-3769,Disconnect,"User DTAA/LID0942 disconnect PC-3769 on August 01, 2010 at 01:09 PM. Session ID: {M0S3-T5JX75ZE-7022ZAFF}",normal,MEDIUM
{D0Y0-M6BD31LR-5099ZSFO},1/8/2010 13:30,DTAA/DDK0417,PC-0980,Disconnect,"User DTAA/DDK0417 disconnect PC-0980 on August 01, 2010 at 01:30 PM. Session ID: {D0Y0-M6BD31LR-5099ZSFO}",normal,MEDIUM
{V9M4-Q3HS49GP-8764OQJA},1/8/2010 13:31,DTAA/AQG0678,PC-1127,Disconnect,"User DTAA/AQG0678 disconnect PC-1127 on August 01, 2010 at 01:31 PM. Session ID: {V9M4-Q3HS49GP-8764OQJA}",normal,MEDIUM
{C1G7-Z7RN19RG-0207EQEK},1/8/2010 13:33,DTAA/BAF0379,PC-3645,Connect,"User DTAA/BAF0379 connect PC-3645 on August 01, 2010 at 01:33 PM. Session ID: {C1G7-Z7RN19RG-0207EQEK}",normal,LOW
{I6I0-N6IT87OK-2962GCEH},1/8/2010 13:34,DTAA/SKW0871,PC-1529,Connect,"User DTAA/SKW0871 connect PC-1529 on August 01, 2010 at 01:34 PM. Session ID: {I6I0-N6IT87OK-2962GCEH}",normal,LOW
{N1I4-H4WK83ZV-4708HNHN},1/8/2010 13:37,DTAA/RCW0436,PC-3171,Disconnect,"User DTAA/RCW0436 disconnect PC-3171 on August 01, 2010 at 01:37 PM. Session ID: {N1I4-H4WK83ZV-4708HNHN}",normal,MEDIUM
{P4W6-I4DR71XJ-6423BTIH},1/8/2010 13:39,DTAA/FUA0154,PC-1985,Disconnect,"User DTAA/FUA0154 disconnect PC-1985 on August 01, 2010 at 01:39 PM. Session ID: {P4W6-I4DR71XJ-6423BTIH}",normal,MEDIUM
{K9K6-I8IZ66FY-2603SZXS},1/8/2010 13:43,DTAA/AJC0399,PC-1746,Connect,"User DTAA/AJC0399 connect PC-1746 on August 01, 2010 at 01:43 PM. Session ID: {K9K6-I8IZ66FY-2603SZXS}",normal,LOW
{D1G0-Q3BT83EA-1863LJOJ},1/8/2010 13:43,DTAA/RES0962,PC-3736,Connect,"User DTAA/RES0962 connect PC-3736 on August 01, 2010 at 01:43 PM. Session ID: {D1G0-Q3BT83EA-1863LJOJ}",normal,LOW
{G7H7-B8VI65LM-3987DOZX},1/8/2010 13:45,DTAA/ATJ0284,PC-4337,Disconnect,"User DTAA/ATJ0284 disconnect PC-4337 on August 01, 2010 at 01:45 PM. Session ID: {G7H7-B8VI65LM-3987DOZX}",normal,MEDIUM
{D5M8-J0WG99VK-8249PARD},1/8/2010 13:49,DTAA/MAG0290,PC-4646,Disconnect,"User DTAA/MAG0290 disconnect PC-4646 on August 01, 2010 at 01:49 PM. Session ID: {D5M8-J0WG99VK-8249PARD}",normal,MEDIUM
{A4M0-U1PM66NO-0160VXGF},1/8/2010 13:51,DTAA/AJC0399,PC-1746,Disconnect,"User DTAA/AJC0399 disconnect PC-1746 on August 01, 2010 at 01:51 PM. Session ID: {A4M0-U1PM66NO-0160VXGF}",normal,MEDIUM
{K7T0-C3QR00XF-5090QWRL},1/8/2010 13:52,DTAA/MQL0135,PC-4656,Connect,"User DTAA/MQL0135 connect PC-4656 on August 01, 2010 at 01:52 PM. Session ID: {K7T0-C3QR00XF-5090QWRL}",normal,LOW
{D4A3-U2BU97IX-2059GKGH},1/8/2010 13:55,DTAA/RVS0852,PC-2420,Connect,"User DTAA/RVS0852 connect PC-2420 on August 01, 2010 at 01:55 PM. Session ID: {D4A3-U2BU97IX-2059GKGH}",normal,LOW
{A4O5-Z8QW03DT-0221QTCR},1/8/2010 13:56,DTAA/AFR0646,PC-0323,Disconnect,"User DTAA/AFR0646 disconnect PC-0323 on August 01, 2010 at 01:56 PM. Session ID: {A4O5-Z8QW03DT-0221QTCR}",normal,MEDIUM
{B0M0-Y4PS08WK-9704IIVP},1/8/2010 13:56,DTAA/CHA0174,PC-2751,Disconnect,"User DTAA/CHA0174 disconnect PC-2751 on August 01, 2010 at 01:56 PM. Session ID: {B0M0-Y4PS08WK-9704IIVP}",normal,MEDIUM
{Z5F6-J0WP61ZE-1727VCMN},1/8/2010 13:57,DTAA/MVW0630,PC-2005,Connect,"User DTAA/MVW0630 connect PC-2005 on August 01, 2010 at 01:57 PM. Session ID: {Z5F6-J0WP61ZE-1727VCMN}",normal,LOW
{G6V7-U6KF39PL-5599EWSH},1/8/2010 13:59,DTAA/AJB0370,PC-0054,Connect,"User DTAA/AJB0370 connect PC-0054 on August 01, 2010 at 01:59 PM. Session ID: {G6V7-U6KF39PL-5599EWSH}",normal,LOW
{H0L8-A1ZI73NV-2863PVRR},1/8/2010 14:01,DTAA/ERP0254,PC-3959,Connect,"User DTAA/ERP0254 connect PC-3959 on August 01, 2010 at 02:01 PM. Session ID: {H0L8-A1ZI73NV-2863PVRR}",normal,LOW
{L5K9-K5HD00IQ-0054BFDQ},1/8/2010 14:01,DTAA/PMB0702,PC-1792,Disconnect,"User DTAA/PMB0702 disconnect PC-1792 on August 01, 2010 at 02:01 PM. Session ID: {L5K9-K5HD00IQ-0054BFDQ}",normal,MEDIUM
{Y1J6-D5VY64HS-0293TSWH},1/8/2010 14:04,DTAA/GKJ0573,PC-3174,Connect,"User DTAA/GKJ0573 connect PC-3174 on August 01, 2010 at 02:04 PM. Session ID: {Y1J6-D5VY64HS-0293TSWH}",normal,LOW
{F5O3-V5PJ04EO-6885JNKA},1/8/2010 14:07,DTAA/AFN0918,PC-3425,Connect,"User DTAA/AFN0918 connect PC-3425 on August 01, 2010 at 02:07 PM. Session ID: {F5O3-V5PJ04EO-6885JNKA}",normal,LOW
{O3F4-S0CM63HQ-4419OFJS},1/8/2010 14:15,DTAA/SJA0691,PC-3231,Connect,"User DTAA/SJA0691 connect PC-3231 on August 01, 2010 at 02:15 PM. Session ID: {O3F4-S0CM63HQ-4419OFJS}",normal,LOW
{L8D0-J1OW76VO-2485GTQD},1/8/2010 14:15,DTAA/ERP0254,PC-3959,Disconnect,"User DTAA/ERP0254 disconnect PC-3959 on August 01, 2010 at 02:15 PM. Session ID: {L8D0-J1OW76VO-2485GTQD}",normal,MEDIUM
{F9R2-A5GB59OV-5212VMDE},1/8/2010 14:20,DTAA/TLB0017,PC-0053,Disconnect,"User DTAA/TLB0017 disconnect PC-0053 on August 01, 2010 at 02:20 PM. Session ID: {F9R2-A5GB59OV-5212VMDE}",normal,MEDIUM
{Q7X6-O7ER71IW-7274QHRB},1/8/2010 14:24,DTAA/EMR0242,PC-1306,Disconnect,"User DTAA/EMR0242 disconnect PC-1306 on August 01, 2010 at 02:24 PM. Session ID: {Q7X6-O7ER71IW-7274QHRB}",normal,MEDIUM
{A9T2-N3TL59UX-8142HYNE},1/8/2010 14:24,DTAA/SKW0871,PC-1529,Disconnect,"User DTAA/SKW0871 disconnect PC-1529 on August 01, 2010 at 02:24 PM. Session ID: {A9T2-N3TL59UX-8142HYNE}",normal,MEDIUM
{V8U3-B0OX83AT-2553ILFD},1/8/2010 14:29,DTAA/ASV0049,PC-2492,Connect,"User DTAA/ASV0049 connect PC-2492 on August 01, 2010 at 02:29 PM. Session ID: {V8U3-B0OX83AT-2553ILFD}",normal,LOW
{W4N6-A2TT77JI-9291KOYQ},1/8/2010 14:30,DTAA/VCG0663,PC-2219,Disconnect,"User DTAA/VCG0663 disconnect PC-2219 on August 01, 2010 at 02:30 PM. Session ID: {W4N6-A2TT77JI-9291KOYQ}",normal,MEDIUM
{Y5O2-U1CA76TQ-4478VGKK},1/8/2010 14:31,DTAA/CJW0317,PC-1900,Disconnect,"User DTAA/CJW0317 disconnect PC-1900 on August 01, 2010 at 02:31 PM. Session ID: {Y5O2-U1CA76TQ-4478VGKK}",normal,MEDIUM
{K1S2-J9ET90NI-6302BLQG},1/8/2010 14:31,DTAA/AJA0220,PC-3872,Connect,"User DTAA/AJA0220 connect PC-3872 on August 01, 2010 at 02:31 PM. Session ID: {K1S2-J9ET90NI-6302BLQG}",normal,LOW
{C6F5-I5ZR66RS-5630SYRD},1/8/2010 14:32,DTAA/MQL0135,PC-4656,Disconnect,"User DTAA/MQL0135 disconnect PC-4656 on August 01, 2010 at 02:32 PM. Session ID: {C6F5-I5ZR66RS-5630SYRD}",normal,MEDIUM
{R2A2-Y6AS03SA-9643ABYK},1/8/2010 14:32,DTAA/STF0145,PC-0191,Connect,"User DTAA/STF0145 connect PC-0191 on August 01, 2010 at 02:32 PM. Session ID: {R2A2-Y6AS03SA-9643ABYK}",normal,LOW
